Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e_primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e_secundaria,Tipo,Algoritmo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,"[8, 4, 3]",400.0,21.2,3.8,2.4,P,calcula_ruta_pso_opt,OK,2.0162901878356934,14.8,8679.0625
2,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,"[8, 3, 4]",400.0,21.2,3.8,2.4,P,calcula_ruta_pso_opt,OK,2.0135481357574463,0.0,8682.265625
3,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,"[10, 8, 7, 9]",420.0,22.4,1,2.7,P,calcula_ruta_pso_opt,OK,2.018779993057251,11.2,8660.515625
4,14,3,1,"[14, 10, 8, 3]",400.0,21.4,3.8,2.6,"[14, 13, 9, 7, 5, 3]",650.0,34.7,1,4.2,P,calcula_ruta_pso_opt,OK,2.016650915145874,6.1,8655.296875
5,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,"[14, 10, 9, 13]",350.0,18.7,1,2.4,P,calcula_ruta_pso_opt,OK,2.0167839527130127,11.8,8671.15625
6,23,8,1,"[23, 13, 9, 10, 8]",600.0,32.0,1.0,3.8,,,,,,P,calcula_ruta_pso_opt,OK,1.004770040512085,19.3,8697.296875
7,23,8,1,"[23, 26, 21, 13, 9, 10, 8]",700.0,37.4,1.0,4.7,,,,,,P,calcula_ruta_pso_opt,OK,1.00730299949646,9.9,8689.515625
8,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,"[23, 13, 9, 10]",500.0,26.6,1,3.1,P,calcula_ruta_pso_opt,OK,2.0139572620391846,8.3,8690.609375
9,26,23,1,"[26, 23]",150.0,7.9,1.0,1.0,"[26, 21, 13, 23]",450.0,24.1,12.8,2.8,P,calcula_ruta_pso_opt,OK,2.0116770267486572,12.5,8684.578125
