Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e_primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e_secundaria,Tipo,Algoritmo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,"[8, 4, 3]",400.0,21.2,3.8,2.4,P,calcula_ruta_ga_opt,OK,2.0914809703826904,3.7,8668.140625
2,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,"[8, 3, 4]",400.0,21.2,3.8,2.4,P,calcula_ruta_ga_opt,OK,2.1001389026641846,12.9,8668.171875
3,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,"[10, 14, 13, 9]",400.0,21.4,3.8,2.6,P,calcula_ruta_ga_opt,OK,2.092773914337158,8.7,8647.328125
4,14,3,1,"[14, 10, 8, 3]",400.0,21.4,3.8,2.6,"[14, 13, 9, 7, 5, 3]",650.0,34.7,1.0,4.2,P,calcula_ruta_ga_opt,OK,2.1119327545166016,10.8,8643.3125
5,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,"[14, 10, 9, 13]",350.0,18.7,1.0,2.4,P,calcula_ruta_ga_opt,OK,2.0960912704467773,7.5,8616.890625
6,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,"[23, 13, 9, 7, 8]",670.0,35.7,1.0,4.2,P,calcula_ruta_ga_opt,OK,2.1028330326080322,0.0,8649.953125
7,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,"[23, 13, 9, 7, 8]",670.0,35.7,1.0,4.2,P,calcula_ruta_ga_opt,OK,2.1123180389404297,16.3,8587.90625
8,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,"[23, 13, 9, 10]",500.0,26.6,1.0,3.1,P,calcula_ruta_ga_opt,OK,2.1060991287231445,14.5,8621.140625
9,26,23,1,"[26, 23]",150.0,7.9,1.0,1.0,"[26, 21, 13, 23]",450.0,24.1,12.8,2.8,P,calcula_ruta_ga_opt,OK,2.094550848007202,3.6,8616.96875
