Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e_primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e_secundaria,Tipo,Algoritmo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,"[8, 4, 3]",400.0,21.2,3.8,2.4,P,calcula_ruta_aco_bid,OK,2.131502151489258,17.0,8632.96875
2,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,"[8, 3, 4]",400.0,21.2,3.8,2.4,P,calcula_ruta_aco_bid,OK,2.0917000770568848,11.0,8655.515625
3,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,"[10, 14, 13, 9]",400.0,21.4,3.8,2.6,P,calcula_ruta_aco_bid,OK,2.074213981628418,17.2,8690.6875
4,14,3,1,"[14, 10, 8, 3]",400.0,21.4,3.8,2.6,"[14, 13, 9, 7, 5, 3]",650.0,34.7,1.0,4.2,P,calcula_ruta_aco_bid,OK,2.0893378257751465,16.3,8687.84375
5,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,"[14, 10, 9, 13]",350.0,18.7,1.0,2.4,P,calcula_ruta_aco_bid,OK,2.068366765975952,11.8,8668.21875
6,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,"[23, 13, 9, 7, 8]",670.0,35.7,1.0,4.2,P,calcula_ruta_aco_bid,OK,2.077892780303955,11.9,8678.78125
7,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,"[23, 13, 9, 7, 8]",670.0,35.7,1.0,4.2,P,calcula_ruta_aco_bid,OK,2.0809431076049805,11.9,8653.765625
8,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,"[23, 13, 9, 10]",500.0,26.6,1.0,3.1,P,calcula_ruta_aco_bid,OK,2.061537742614746,0.0,8656.359375
9,26,23,1,"[26, 23]",150.0,7.9,1.0,1.0,"[26, 21, 13, 23]",450.0,24.1,12.8,2.8,P,calcula_ruta_aco_bid,OK,2.0528337955474854,16.5,8645.671875
