Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e_primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e_secundaria,Tipo,Algoritmo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,"[8, 4, 3]",400.0,21.2,3.8,2.4,P,calcula_ruta_bco_basico,OK,2.0286619663238525,8.0,8676.53125
2,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,"[8, 3, 4]",400.0,21.2,3.8,2.4,P,calcula_ruta_bco_basico,OK,2.0356180667877197,11.8,8654.5625
3,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,"[10, 14, 13, 9]",400.0,21.4,3.8,2.6,P,calcula_ruta_bco_basico,OK,2.0302109718322754,15.3,8644.53125
4,14,3,1,"[14, 10, 8, 3]",400.0,21.4,3.8,2.6,"[14, 13, 9, 7, 5, 3]",650.0,34.7,1.0,4.2,P,calcula_ruta_bco_basico,OK,2.032022714614868,0.0,8616.78125
5,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,"[14, 10, 9, 13]",350.0,18.7,1.0,2.4,P,calcula_ruta_bco_basico,OK,2.0292789936065674,1.2,8623.703125
6,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,"[23, 13, 9, 7, 8]",670.0,35.7,1.0,4.2,P,calcula_ruta_bco_basico,OK,2.0389978885650635,3.8,8610.484375
7,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,"[23, 13, 9, 7, 8]",670.0,35.7,1.0,4.2,P,calcula_ruta_bco_basico,OK,2.034738779067993,10.1,8682.75
8,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,"[23, 13, 9, 10]",500.0,26.6,1.0,3.1,P,calcula_ruta_bco_basico,OK,2.0303397178649902,13.1,8660.734375
9,26,23,1,"[26, 23]",150.0,7.9,1.0,1.0,"[26, 21, 13, 23]",450.0,24.1,12.8,2.8,P,calcula_ruta_bco_basico,OK,2.0341577529907227,1.3,8658.15625
