Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
49,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.007493257522583,1.2,223.890625
50,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0108392238616943,4.8,223.890625
51,18,3,1,"[18, 14, 10, 8, 3]",500.0,26.8,3.8,3.3,,,,,,U,OK,1.0097429752349854,1.2,223.890625
52,18,4,1,"[18, 14, 10, 8, 4]",500.0,26.8,3.8,3.3,,,,,,U,OK,1.0100798606872559,2.4,223.890625
53,18,5,1,"[18, 14, 10, 8, 4, 3, 5]",850.0,45.3,1.0,5.4,,,,,,U,OK,1.0083160400390625,3.6,223.890625
54,18,7,1,"[18, 25, 23, 13, 9, 7]",600.0,32.2,12.8,4.0,,,,,,U,OK,1.0077450275421143,3.6,223.890625
55,18,8,1,"[18, 14, 10, 8]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0094950199127197,1.2,223.890625
56,18,9,1,"[18, 14, 10, 9]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.0103850364685059,1.2,223.890625
57,18,10,1,"[18, 14, 10]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0025701522827148,7.5,223.890625
58,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.006749153137207,1.2,223.890625
59,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0106921195983887,1.2,223.890625
60,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.010558843612671,3.7,223.890625
61,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.009828805923462,8.4,223.890625
62,21,3,1,"[21, 13, 9, 7, 5, 3]",550.0,29.5,1.0,3.8,,,,,,U,OK,1.0102808475494385,5.9,223.890625
63,21,4,1,"[21, 13, 14, 10, 8, 4]",700.0,37.4,3.8,4.5,,,,,,U,OK,1.009538173675537,0.0,223.890625
64,21,5,1,"[21, 13, 9, 7, 8, 3, 5]",870.0,46.3,1.0,5.5,,,,,,U,OK,1.0087738037109375,7.1,223.890625
65,21,7,1,"[21, 13, 9, 7]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0084950923919678,2.4,223.890625
