Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
49,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.023942232131958,9.4,213.78125
50,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0243282318115234,13.1,213.78125
51,18,3,1,"[18, 14, 10, 8, 3]",500.0,26.8,3.8,3.3,,,,,,U,OK,1.0389978885650635,7.0,213.78125
52,18,4,1,"[18, 14, 10, 8, 4]",500.0,26.8,3.8,3.3,,,,,,U,OK,1.0444648265838623,10.8,213.78125
53,18,5,1,"[18, 14, 10, 9, 7, 5]",550.0,29.5,1.0,3.8,,,,,,U,OK,1.031723976135254,7.5,213.78125
54,18,7,1,"[18, 14, 10, 9, 7]",450.0,24.1,1.0,3.0,,,,,,U,OK,1.0484068393707275,6.0,213.78125
55,18,8,1,"[18, 14, 10, 8]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0365681648254395,8.1,213.78125
56,18,9,1,"[18, 14, 10, 9]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.043076753616333,6.2,213.78125
57,18,10,1,"[18, 14, 10]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0319921970367432,7.8,213.78125
58,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0327727794647217,15.3,213.78125
59,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0306529998779297,8.4,213.78125
60,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0198063850402832,4.7,213.78125
61,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0241169929504395,4.9,213.78125
62,21,3,1,"[21, 13, 9, 7, 5, 3]",550.0,29.5,1.0,3.8,,,,,,U,OK,1.0414299964904785,1.3,213.78125
63,21,4,1,"[21, 13, 9, 10, 8, 4]",650.0,34.7,1.0,4.2,,,,,,U,OK,1.0501277446746826,4.7,213.78125
64,21,5,1,"[21, 13, 9, 7, 5]",400.0,21.6,13.6,2.8,,,,,,U,OK,1.046760082244873,4.8,213.78125
65,21,7,1,"[21, 13, 9, 7]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0526959896087646,8.1,213.78125
66,21,8,1,"[21, 13, 9, 10, 8]",450.0,24.1,1.0,3.0,,,,,,U,OK,1.0415911674499512,18.2,213.78125
67,21,9,1,"[21, 13, 9]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0203509330749512,3.6,213.78125
68,21,10,1,"[21, 13, 9, 10]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.034675121307373,4.6,213.78125
69,21,13,1,"[21, 13]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0250248908996582,2.3,213.78125
70,21,14,1,"[21, 13, 14]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0316307544708252,5.9,213.78125
71,21,18,1,"[21, 26, 23, 25, 18]",400.0,21.4,1.0,2.8,,,,,,U,OK,1.0390663146972656,6.2,213.78125
72,23,3,1,"[23, 25, 18, 14, 10, 8, 3]",650.0,34.9,3.8,4.4,,,,,,U,OK,1.0486688613891602,9.9,213.78125
73,23,3,1,"[23, 25, 18, 14, 10, 8, 3]",650.0,34.9,3.8,4.4,,,,,,U,OK,1.0487501621246338,6.0,213.78125
74,23,4,1,"[23, 25, 18, 14, 10, 8, 4]",650.0,34.9,3.8,4.4,,,,,,U,OK,1.0481977462768555,2.4,213.78125
75,23,5,1,"[23, 13, 9, 7, 5]",550.0,29.5,12.8,3.6,,,,,,U,OK,1.0542881488800049,1.2,213.78125
76,23,7,1,"[23, 13, 9, 7]",450.0,24.1,12.8,2.8,,,,,,U,OK,1.0452930927276611,8.3,213.78125
77,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,,,,,,U,OK,1.0402758121490479,3.7,213.78125
78,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,,,,,,U,OK,1.045562982559204,18.4,213.78125
79,23,9,1,"[23, 13, 9]",350.0,18.7,12.8,2.2,,,,,,U,OK,1.0185978412628174,2.4,213.78125
80,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,,,,,,U,OK,1.0420548915863037,16.7,213.78125
81,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,,,,,,U,OK,1.02335524559021,1.2,213.78125
82,23,13,1,"[23, 13]",250.0,13.3,12.8,1.5,,,,,,U,OK,1.0233409404754639,13.3,213.78125
83,23,13,1,"[23, 13]",250.0,13.3,12.8,1.5,,,,,,U,OK,1.0251240730285645,6.0,213.78125
84,23,14,1,"[23, 25, 18, 14]",250.0,13.5,13.6,1.8,,,,,,U,OK,1.0361700057983398,4.7,213.78125
85,23,18,1,"[23, 25, 18]",150.0,8.1,13.6,1.2,,,,,,U,OK,1.0329678058624268,5.9,213.78125
86,23,18,1,"[23, 25, 18]",150.0,8.1,13.6,1.2,,,,,,U,OK,1.0306978225708008,12.3,213.78125
87,23,21,1,"[23, 26, 21]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0623371601104736,8.6,213.78125
88,25,3,1,"[25, 18, 14, 10, 8, 3]",600.0,32.2,3.8,4.0,,,,,,U,OK,1.0506620407104492,12.9,213.78125
89,25,3,1,"[25, 18, 14, 10, 8, 3]",600.0,32.2,3.8,4.0,,,,,,U,OK,1.053563117980957,10.7,213.78125
90,25,4,1,"[25, 18, 14, 10, 8, 4]",600.0,32.2,3.8,4.0,,,,,,U,OK,1.0549559593200684,22.0,213.78125
91,25,4,1,"[25, 18, 14, 10, 8, 4]",600.0,32.2,3.8,4.0,,,,,,U,OK,1.055894136428833,10.8,213.78125
92,25,5,1,"[25, 23, 13, 9, 7, 5]",600.0,32.2,12.8,4.0,,,,,,U,OK,1.0503532886505127,8.5,213.78125
93,25,5,1,"[25, 23, 13, 9, 7, 5]",600.0,32.2,12.8,4.0,,,,,,U,OK,1.0482852458953857,9.9,213.78125
94,25,7,1,"[25, 23, 13, 9, 7]",500.0,26.8,12.8,3.3,,,,,,U,OK,1.0460469722747803,4.8,213.78125
