Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
49,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0196518898010254,1.2,220.15625
50,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0195913314819336,1.3,220.15625
51,18,3,1,"[18, 14, 10, 8, 3]",500.0,26.8,3.8,3.3,,,,,,U,OK,1.0157430171966553,5.0,220.15625
52,18,4,1,"[18, 14, 10, 8, 4]",500.0,26.8,3.8,3.3,,,,,,U,OK,1.0171761512756348,7.2,220.15625
53,18,5,1,"[18, 14, 10, 9, 7, 5]",550.0,29.5,1.0,3.8,,,,,,U,OK,1.0176639556884766,4.6,220.15625
54,18,7,1,"[18, 14, 10, 9, 7]",450.0,24.1,1.0,3.0,,,,,,U,OK,1.0172829627990723,23.5,220.15625
55,18,8,1,"[18, 14, 10, 8]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0085179805755615,1.2,220.15625
56,18,9,1,"[18, 14, 10, 9]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.0204801559448242,1.2,220.15625
57,18,10,1,"[18, 14, 10]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0175080299377441,1.2,220.15625
58,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0167860984802246,1.2,220.15625
59,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0189859867095947,1.2,220.15625
60,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0149290561676025,3.6,220.15625
61,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0158312320709229,2.3,220.15625
62,21,3,1,"[21, 13, 9, 7, 5, 3]",550.0,29.5,1.0,3.8,,,,,,U,OK,1.018540859222412,1.2,220.15625
63,21,4,1,"[21, 13, 9, 10, 8, 4]",650.0,34.7,1.0,4.2,,,,,,U,OK,1.0190351009368896,2.4,220.15625
64,21,5,1,"[21, 13, 9, 7, 5]",400.0,21.6,13.6,2.8,,,,,,U,OK,1.0164289474487305,4.9,220.15625
65,21,7,1,"[21, 13, 9, 7]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0181879997253418,5.8,220.15625
66,21,8,1,"[21, 13, 9, 10, 8]",450.0,24.1,1.0,3.0,,,,,,U,OK,1.0193190574645996,4.6,220.15625
67,21,9,1,"[21, 13, 9]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0176010131835938,3.7,220.15625
68,21,10,1,"[21, 13, 9, 10]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.0172159671783447,13.6,220.15625
69,21,13,1,"[21, 13]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0082509517669678,4.8,220.15625
70,21,14,1,"[21, 13, 14]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0170550346374512,0.0,220.15625
71,21,18,1,"[21, 13, 14, 18]",400.0,21.4,3.8,2.6,,,,,,U,OK,1.017193078994751,1.2,220.15625
72,23,3,1,"[23, 25, 18, 14, 10, 8, 3]",650.0,34.9,3.8,4.4,,,,,,U,OK,1.0165040493011475,22.2,220.15625
73,23,3,1,"[23, 25, 18, 14, 10, 8, 3]",650.0,34.9,3.8,4.4,,,,,,U,OK,1.0163829326629639,19.8,220.15625
74,23,4,1,"[23, 25, 18, 14, 10, 8, 4]",650.0,34.9,3.8,4.4,,,,,,U,OK,1.0151681900024414,3.7,220.15625
75,23,5,1,"[23, 13, 9, 7, 5]",550.0,29.5,12.8,3.6,,,,,,U,OK,1.016921043395996,15.9,220.15625
76,23,7,1,"[23, 13, 9, 7]",450.0,24.1,12.8,2.8,,,,,,U,OK,1.0173799991607666,18.8,220.15625
77,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,,,,,,U,OK,1.017049789428711,7.2,220.15625
78,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,,,,,,U,OK,1.0178890228271484,1.2,220.15625
79,23,9,1,"[23, 13, 9]",350.0,18.7,12.8,2.2,,,,,,U,OK,1.0163378715515137,14.5,220.15625
80,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,,,,,,U,OK,1.01212477684021,11.0,220.15625
