Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
49,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0483529567718506,4.8,208.96875
50,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0485432147979736,2.4,208.96875
51,18,3,1,"[18, 14, 10, 8, 3]",500.0,26.8,3.8,3.3,,,,,,U,OK,1.053558111190796,1.2,208.96875
52,18,4,1,"[18, 14, 10, 8, 4]",500.0,26.8,3.8,3.3,,,,,,U,OK,1.0586330890655518,0.0,208.96875
53,18,5,1,"[18, 14, 10, 9, 7, 5]",550.0,29.5,1.0,3.8,,,,,,U,OK,1.0552089214324951,14.5,208.96875
54,18,7,1,"[18, 14, 10, 9, 7]",450.0,24.1,1.0,3.0,,,,,,U,OK,1.0486879348754883,22.4,208.96875
55,18,8,1,"[18, 14, 10, 8]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0300769805908203,24.1,208.96875
56,18,9,1,"[18, 14, 10, 9]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.0221922397613525,11.1,208.96875
57,18,10,1,"[18, 14, 10]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0535619258880615,3.7,208.96875
58,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.051969051361084,6.2,208.96875
59,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0495390892028809,2.4,208.96875
60,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0499470233917236,8.7,208.96875
61,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0501718521118164,12.7,208.96875
62,21,3,1,"[21, 13, 14, 10, 8, 3]",700.0,37.4,3.8,4.5,,,,,,U,OK,1.0589070320129395,7.2,208.96875
63,21,4,1,"[21, 13, 9, 10, 8, 4]",650.0,34.7,1.0,4.2,,,,,,U,OK,1.0553779602050781,8.5,208.96875
64,21,5,1,"[21, 13, 9, 7, 5]",400.0,21.6,13.6,2.8,,,,,,U,OK,1.0526762008666992,13.3,208.96875
65,21,7,1,"[21, 13, 9, 7]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0532689094543457,11.8,208.96875
66,21,8,1,"[21, 13, 9, 10, 8]",450.0,24.1,1.0,3.0,,,,,,U,OK,1.0459909439086914,13.8,208.96875
67,21,9,1,"[21, 13, 9]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0517539978027344,9.9,208.96875
68,21,10,1,"[21, 13, 9, 10]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.0540709495544434,9.6,208.96875
69,21,13,1,"[21, 13]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.047973871231079,23.3,208.984375
70,21,14,1,"[21, 13, 14]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0237879753112793,4.8,208.984375
71,21,18,1,"[21, 13, 14, 18]",400.0,21.4,3.8,2.6,,,,,,U,OK,1.0515871047973633,6.9,209.0
72,23,3,1,"[23, 25, 18, 14, 10, 8, 3]",650.0,34.9,3.8,4.4,,,,,,U,OK,1.0538339614868164,13.3,209.0
73,23,3,1,"[23, 25, 18, 14, 10, 8, 3]",650.0,34.9,3.8,4.4,,,,,,U,OK,1.0578088760375977,4.7,209.0
74,23,4,1,"[23, 25, 18, 14, 10, 8, 4]",650.0,34.9,3.8,4.4,,,,,,U,OK,1.0599479675292969,9.2,209.0
75,23,5,1,"[23, 13, 9, 7, 5]",550.0,29.5,12.8,3.6,,,,,,U,OK,1.0526599884033203,10.5,209.0
76,23,7,1,"[23, 13, 9, 7]",450.0,24.1,12.8,2.8,,,,,,U,OK,1.0538630485534668,11.8,209.0
77,23,8,1,"[23, 13, 9, 10, 8]",600.0,32.0,1.0,3.8,,,,,,U,OK,1.048079013824463,8.8,209.0
78,23,8,1,"[23, 13, 9, 10, 8]",600.0,32.0,1.0,3.8,,,,,,U,OK,1.0506749153137207,6.5,209.0
79,23,9,1,"[23, 13, 9]",350.0,18.7,12.8,2.2,,,,,,U,OK,1.0511529445648193,7.1,209.0
80,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,,,,,,U,OK,1.0489509105682373,6.9,209.0
81,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,,,,,,U,OK,1.0508661270141602,8.1,209.0
82,23,13,1,"[23, 13]",250.0,13.3,12.8,1.5,,,,,,U,OK,1.0477423667907715,8.3,209.0
83,23,13,1,"[23, 13]",250.0,13.3,12.8,1.5,,,,,,U,OK,1.0474050045013428,4.9,209.0
84,23,14,1,"[23, 25, 18, 14]",250.0,13.5,13.6,1.8,,,,,,U,OK,1.0423340797424316,8.2,209.0
85,23,18,1,"[23, 25, 18]",150.0,8.1,13.6,1.2,,,,,,U,OK,1.0517771244049072,2.4,209.0
86,23,18,1,"[23, 25, 18]",150.0,8.1,13.6,1.2,,,,,,U,OK,1.052401065826416,5.7,209.0
87,23,21,1,"[23, 26, 21]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0478038787841797,5.1,209.0
88,25,3,1,"[25, 18, 14, 10, 8, 3]",600.0,32.2,3.8,4.0,,,,,,U,OK,1.0570881366729736,6.0,209.0
89,25,3,1,"[25, 18, 14, 10, 8, 3]",600.0,32.2,3.8,4.0,,,,,,U,OK,1.0560028553009033,3.8,209.0
90,25,4,1,"[25, 18, 14, 10, 8, 4]",600.0,32.2,3.8,4.0,,,,,,U,OK,1.0552310943603516,9.5,209.0
91,25,4,1,"[25, 23, 13, 9, 7, 8, 4]",920.0,49.0,1.0,5.8,,,,,,U,OK,1.0547869205474854,4.6,209.0
92,25,5,1,"[25, 23, 13, 9, 7, 5]",600.0,32.2,12.8,4.0,,,,,,U,OK,1.058091163635254,8.0,209.0
93,25,5,1,"[25, 23, 13, 9, 7, 5]",600.0,32.2,12.8,4.0,,,,,,U,OK,1.0577621459960938,3.6,209.0
94,25,7,1,"[25, 23, 13, 9, 7]",500.0,26.8,12.8,3.3,,,,,,U,OK,1.0571670532226562,1.2,209.0
95,25,7,1,"[25, 23, 13, 9, 7]",500.0,26.8,12.8,3.3,,,,,,U,OK,1.0559701919555664,1.2,209.0
96,25,8,1,"[25, 18, 14, 10, 8]",400.0,21.6,13.6,2.8,,,,,,U,OK,1.0532758235931396,2.4,209.046875
