Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
49,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.00023603439331054688,0.0,208.625
50,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.00017309188842773438,11.7,208.625
51,18,3,1,"[18, 14, 10, 8, 3]",500.0,26.8,3.8,3.3,,,,,,U,OK,0.0003418922424316406,19.5,208.625
52,18,4,1,"[18, 14, 10, 8, 4]",500.0,26.8,3.8,3.3,,,,,,U,OK,0.00035691261291503906,15.2,208.625
53,18,5,1,"[18, 14, 10, 9, 7, 5]",550.0,29.5,1.0,3.8,,,,,,U,OK,0.00023603439331054688,0.0,208.625
54,18,7,1,"[18, 14, 10, 9, 7]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.0005440711975097656,0.0,208.625
55,18,8,1,"[18, 14, 10, 8]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.00032782554626464844,0.0,208.625
56,18,9,1,"[18, 14, 10, 9]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.0005321502685546875,0.0,208.625
57,18,10,1,"[18, 14, 10]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.0002701282501220703,0.0,208.625
58,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.00022792816162109375,0.0,208.625
59,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.00020623207092285156,0.0,208.625
60,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.00032901763916015625,15.5,208.625
61,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0002639293670654297,0.0,208.625
62,21,3,1,"[21, 13, 9, 7, 5, 3]",550.0,29.5,1.0,3.8,,,,,,U,OK,0.0004050731658935547,0.0,208.625
63,21,4,1,"[21, 13, 9, 10, 8, 4]",650.0,34.7,1.0,4.2,,,,,,U,OK,0.0004658699035644531,0.0,208.625
64,21,5,1,"[21, 13, 9, 7, 5]",400.0,21.6,13.6,2.8,,,,,,U,OK,0.0003991127014160156,0.0,208.625
65,21,7,1,"[21, 13, 9, 7]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.00028634071350097656,0.0,208.625
66,21,8,1,"[21, 13, 9, 10, 8]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.0002739429473876953,0.0,208.625
67,21,9,1,"[21, 13, 9]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.0003437995910644531,0.0,208.625
68,21,10,1,"[21, 13, 9, 10]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.0003757476806640625,0.0,208.625
69,21,13,1,"[21, 13]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0002040863037109375,0.0,208.625
70,21,14,1,"[21, 13, 14]",300.0,16.0,3.8,1.9,,,,,,U,OK,8.0108642578125e-05,12.7,208.625
71,21,18,1,"[21, 13, 14, 18]",400.0,21.4,3.8,2.6,,,,,,U,OK,9.512901306152344e-05,0.0,208.625
72,23,3,1,"[23, 13, 9, 7, 5, 3]",700.0,37.4,1.0,4.5,,,,,,U,OK,8.702278137207031e-05,0.0,208.625
73,23,3,1,"[23, 13, 9, 7, 5, 3]",700.0,37.4,1.0,4.5,,,,,,U,OK,7.462501525878906e-05,0.0,208.625
74,23,4,1,"[23, 25, 18, 14, 10, 8, 4]",650.0,34.9,3.8,4.4,,,,,,U,OK,0.000141143798828125,0.0,208.625
75,23,5,1,"[23, 13, 9, 7, 5]",550.0,29.5,12.8,3.6,,,,,,U,OK,0.0001652240753173828,0.0,208.625
76,23,7,1,"[23, 13, 9, 7]",450.0,24.1,12.8,2.8,,,,,,U,OK,0.0005087852478027344,0.0,208.625
77,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,,,,,,U,OK,0.0004379749298095703,0.0,208.625
