Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
49,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.10552597045898438,0.0,196.53125
50,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.10400199890136719,6.9,196.53125
51,18,3,1,"[18, 14, 10, 8, 3]",500.0,26.8,3.8,3.3,,,,,,U,OK,0.1056971549987793,0.0,196.53125
52,18,4,1,"[18, 14, 10, 8, 4]",500.0,26.8,3.8,3.3,,,,,,U,OK,0.10558199882507324,0.0,196.53125
53,18,5,1,"[18, 14, 10, 9, 7, 5]",550.0,29.5,1.0,3.8,,,,,,U,OK,0.1055600643157959,0.0,196.53125
54,18,7,1,"[18, 14, 10, 9, 7]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.10045003890991211,0.0,196.53125
55,18,8,1,"[18, 14, 10, 8]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.10575199127197266,7.6,196.53125
56,18,9,1,"[18, 14, 10, 9]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.1055307388305664,13.8,196.53125
57,18,10,1,"[18, 14, 10]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.10547780990600586,2.5,196.53125
58,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.10328412055969238,0.0,196.53125
59,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.10303425788879395,0.0,196.53125
60,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.10196113586425781,9.6,196.53125
61,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.1055450439453125,9.0,196.53125
62,21,3,1,"[21, 13, 9, 7, 5, 3]",550.0,29.5,1.0,3.8,,,,,,U,OK,0.10141420364379883,0.0,196.53125
63,21,4,1,"[21, 13, 9, 10, 8, 4]",650.0,34.7,1.0,4.2,,,,,,U,OK,0.1019749641418457,0.0,196.53125
64,21,5,1,"[21, 13, 9, 7, 5]",400.0,21.6,13.6,2.8,,,,,,U,OK,0.1047360897064209,0.0,196.53125
65,21,7,1,"[21, 13, 9, 7]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.10519790649414062,17.3,196.53125
66,21,8,1,"[21, 13, 9, 10, 8]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.10550713539123535,3.8,196.53125
67,21,9,1,"[21, 13, 9]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.10418510437011719,0.0,196.53125
68,21,10,1,"[21, 13, 9, 10]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.10555791854858398,0.0,196.53125
69,21,13,1,"[21, 13]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.10543394088745117,0.0,196.53125
70,21,14,1,"[21, 13, 14]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.10547709465026855,10.3,196.53125
71,21,18,1,"[21, 13, 14, 18]",400.0,21.4,3.8,2.6,,,,,,U,OK,0.10171794891357422,6.2,196.53125
